Node,Attributes,Type,Source,Target
209220AX01-JW51,{},Node,,
209220AS10-JW50,{},Node,,
209220CHB21M14-UE144,{},Node,,
209230CA21M4-UE150,{},Node,,
209230CR22M1-UE153,{},Node,,
209230CHB22M14-UE152,{},Node,,
209000AE02-JW208.X1,{},Node,,
209000AE02-JW210,{},Node,,
209210CHB21M14-UE134,{},Node,,
209210AX01-JW41,{},Node,,
209210CWP20-JX46,{},Node,,
209210Field-JW221,{},Node,,
209210AS10-JW40,{},Node,,
209210AX02-JW43,{},Node,,
209000AS02-JW39,{},Node,,
209230Field-JW223,{},Node,,
209230AX01-JW61,{},Node,,
209230CHB21M14-UE151,{},Node,,
209000AK02-JC32,{},Node,,
209000AK01-JW35,{},Node,,
209000AK03-JW36,{},Node,,
209000AS01-JW38,{},Node,,
209000AK04M4-UE142,{},Node,,
209000AK04M4-UE141,{},Node,,
209000AK04M1-UE143,{},Node,,
209230AS10-JW60,{},Node,,
209000AK03M4-UE132,{},Node,,
209000AK03M4-UE131,{},Node,,
209000AK03M1-UE133,{},Node,,
209220AS11-JW52,{},Node,,
209220CWP10-JX57,{},Node,,
209220AX02-JW53,{},Node,,
209220Field-JW222,{},Node,,
209220CWP10-JX54,{},Node,,
209220CWP10-JX55,{},Node,,
209220AS20-JW58,{},Node,,
209220CWP20-JX56,{},Node,,
211212AE1-JW200,{},Node,,
209210CWP10-JX44,{},Node,,
209210AS20-JW48,{},Node,,
209210CWP10-JX45,{},Node,,
209000AK04-JW37,{},Node,,
209000AK04M1-UE140,{},Node,,
209210AS11-JW42,{},Node,,
209220Field-JW232,{},Node,,
209000AE02-JW211,{},Node,,
PROFINET,{},Node,,
209000AE01-JC31,{},Node,,
209000AK03M1-UE130,{},Node,,
209000AK01E1-BE30,{},Node,,
209210CWP20-JX47,{},Node,,
209210Field-JW231,{},Node,,
P209000AE01-JC5,{},Node,,
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209220AX01-JW51,209220AS10-JW50
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'}",Edge,209220AX01-JW51,209220CHB21M14-UE144
,"{'length': 'N/A', 'deviceType': 'System:Device.Scalance/XP200'}",Edge,209220AS10-JW50,209220Field-JW222
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'}",Edge,209220CHB21M14-UE144,209220CWP10-JX54
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'}",Edge,209230CA21M4-UE150,209230CR22M1-UE153
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'}",Edge,209230CA21M4-UE150,209230CHB22M14-UE152
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'}",Edge,209230CR22M1-UE153,209230AS10-JW60
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'}",Edge,209230CHB22M14-UE152,209230CHB21M14-UE151
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW208.X1,209000AE02-JW210
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW210,209210Field-JW221
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW210,209000AS02-JW39
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW210,209230Field-JW223
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW210,209000AS01-JW38
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW210,211212AE1-JW200
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW210,PROFINET
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-ETA-CPC20PN-20190809.XML/D'}",Edge,209000AE02-JW210,209000AE01-JC31
,"{'length': 'N/A', 'deviceType': 'System:Device.ET200SP'}",Edge,209000AE02-JW210,209000AK01-JW35
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AE02-JW210,209000AK03M1-UE130
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AE02-JW210,209000AK04M1-UE140
,"{'length': 'N/A', 'deviceType': 'System:Device.Scalance/XP200'}",Edge,209000AE02-JW210,209220Field-JW222
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-PAC_V30-20191014.XML/D'}",Edge,209000AE02-JW210,209000AK01E1-BE30
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW210,209000AE02-JW211
,"{'length': 'N/A', 'deviceType': 'System:Device.S71500'}",Edge,209000AE02-JW210,P209000AE01-JC5
,"{'length': 'N/A', 'deviceType': 'System:Device.ET200SP'}",Edge,209210CHB21M14-UE134,209210AX01-JW41
,"{'length': 'N/A', 'deviceType': 'System:Device.ET200eco'}",Edge,209210CHB21M14-UE134,209210CWP20-JX46
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209210AX01-JW41,209210AS10-JW40
,"{'length': '100m', 'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'}",Edge,209210CWP20-JX46,209210CWP20-JX47
,"{'length': 'N/A', 'deviceType': 'System:Device.ET200SP'}",Edge,209210Field-JW221,209210AS10-JW40
,"{'length': 'N/A', 'deviceType': 'System:Device.ET200SP'}",Edge,209210Field-JW221,209210AX02-JW43
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209210AX02-JW43,209210AS11-JW42
,"{'length': 'N/A', 'deviceType': 'System:Device.ET200SP'}",Edge,209230Field-JW223,209230AX01-JW61
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'}",Edge,209230Field-JW223,209230CHB21M14-UE151
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209230AX01-JW61,209230AS10-JW60
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209000AK02-JC32,209000AK01-JW35
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209000AK02-JC32,209000AK03-JW36
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209000AK03-JW36,209000AK04-JW37
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AK04M4-UE142,209000AK04M4-UE141
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AK04M4-UE142,209000AK04M1-UE143
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AK04M4-UE141,209000AK04M1-UE140
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AK03M4-UE132,209000AK03M4-UE131
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AK03M4-UE132,209000AK03M1-UE133
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AK03M4-UE131,209000AK03M1-UE130
,"{'length': '100m', 'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'}",Edge,209220AS11-JW52,209220CWP10-JX57
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209220AS11-JW52,209220AX02-JW53
,"{'length': '100m', 'deviceType': 'System:Device.ET200eco'}",Edge,209220CWP10-JX57,209220CWP20-JX56
,"{'length': 'N/A', 'deviceType': 'System:Device.Scalance/XP200'}",Edge,209220AX02-JW53,209220Field-JW222
,"{'length': '100m', 'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'}",Edge,209220CWP10-JX54,209220CWP10-JX55
,"{'length': '100m', 'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'}",Edge,209220CWP10-JX55,209220AS20-JW58
,"{'length': '100m', 'deviceType': 'System:Device.ET200eco'}",Edge,209220AS20-JW58,209220CWP20-JX56
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209210CWP10-JX44,209210AS20-JW48
,"{'length': '100m', 'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'}",Edge,209210CWP10-JX44,209210CWP10-JX45
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209210AS20-JW48,209210CWP20-JX47
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209210CWP10-JX45,209210AS11-JW42
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209220Field-JW232,209000AE02-JW211
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW211,209210Field-JW231
