Name,Indent
LHMIResetStart,5
LChangeOfState,5
LToggle,5
LUps-Puls,5
LGeneralReverse,5
L1SignalHmi,5
LGapControlAlarm,5
LGenHooterFlash,5
LPartDet,5
LPartSensor,5
LPulse,5
LPulsesGenerator,5
LRedundantDet,5
LUps-M,5
LConditionDelay,5
FC Function,4
Animation,5
LIAnimDWord,6
LSimpleIAnim,6
LAlarmDword,6
LHmiInterface,6
LModeIAnim,6
LMultiIAnim,6
LComplexIAnim,6
LProcessIAnim,6
LHmiLed,6
Control,5
LDWordToBit,6
LBitToDword,6
LBitToWord,6
LWordToBit,6
LAlarmSummary,6
LInc,6
LETAFuseName,6
LInstanceName,6
LIncInt,6
LBitToInt,6
LIntToBit,6
LAlarmSummaryInit,6
LAlarmSummaryMerge,6
Data,5
LDBCompare,6
LWeekNumberS7-1500,6
Config,5
Communication,6
LVD-Config,7
MovUnit,6
AlarmHandling,6
LETAFuseModule01_08_CPC20PN-Config,7
LETAFuseModule09_16_CPC20PN-Config,7
LETAFuseModule17_24_CPC20PN-Config,7
LETAFuseModule25_32_CPC20PN-Config,7
Supervision,5
CommStnS7Sv,6
FB Actuator,4
L2StopPos,5
L3StopPos,5
TestOpeness,5
FB AlarmHandling,4
L1Alarm,5
L1AlarmMultiIn,5
L1SafetyAlarm,5
L1SafetyFbkAlarm,5
LLoccBoxAlarm,5
LETAFuseAlarm,5
L1SafetyCh1Alarm,5
L1AlarmDly,5
L2Alarm,5
L5Alarm,5
L10Alarm,5
LETAFuseCPC20PN,5
Sub,5
LETAFuseCPC20PNSub,6
FB Communication,4
LDP/PNCouplerDiag,5
LPNIODiagIPS7-1500,5
LPNIODiagMACS7-1500,5
LPNIODiagNameS7-1500,5
LPNIODiagReadIPS7-1500,5
LPNIODiagS7-1500,5
LVDComSubSystemS7-1500,5
LComAlarm,5
LPNIODiagHMIS7-1500,5
LPhoneAlarmReqString,5
LVDComMasterS7-1500,5
LDP/PNCouplerCheck,5
FB DataHandling,4
LMDBToDB,5
LDBCheck,5
FB Control,4
LGeneralFunc,5
LProductionMode,5
LSystemVarS7-1500,5
LMode,5
LModeSelectorHW,5
LModeSummary,5
LModeSelector,5
FB Failsafe,4
LPassivate,5
LSafetyCheck,5
FB Supervision,4
LActiveShift,5
LCounter1Week,5
FB Tooling,4
LMovFnc2Pos2S,5
LMovFnc2Pos,5
LMovFnc3Pos,5
LMovFnc3Pos2S,5
FB_Process,4
LProcProdMode,5
LProc1AlarmMultiIn,5
LAnInput2Lim,5
LProcAnInput6Lim,5
LProcObjectMode,5
LProcBleedOff,5
LProcBurner,5
LProcDanfoss,5
LProcDiffAI,5
LProcDO_Fbk,5
LProcDO_NoFbk,5
LProcEntalphie,5
LProcMasterSlave,5
LProcModeSelector,5
LProcModesSum,5
LProcAcofDet,5
LProcMonStabValv,5
LProcSel5SPResFreq,5
LProcMot1W1S-FC,5
LProcMot1W-FCByp,5
LProcSel5SP,5
LProcMot5S-FCByp,5
LProcMotor1W1S-C,5
LProcMotor1W1S-S,5
LProcMotor2W1S-C,5
LProcPid,5
LProcMotPidFCByp,5
LProcTimStrtStop,5
LProcValv2Pos,5
LProcVlv5PAO,5
LProcVlv5PNoFbk,5
LProcVlv5PosFbk,5
LProcVlvPidAO,5
LProcVlvPidFbk,5
LProcVlvPidNoFbk,5
LAnInput6Lim,5
LProcGeneralFunc,5
LProcPAC-Conversion,5
LProcPAC-Driver,5
LProcPAC-Visu,5
LProcPAC,5
_LocalLibGB,2
PLC,3
FB Actuator,4
LGBSEW-MoviFitFCPN,5
LGBMotor2W2S-MoviFitFCPN,5
LGBSEW-MDXPN-3PD,5
LGBMotor2W2S-MDXPN-3PD,5
LGBSEW-MDXPN-6PD,5
LGBMotor2W2S-MDXPN-6PD-DFS22B,5
LGBDanfoss-FC302PN,5
LGBMotor2W2S-C,5
LGBMotor2W2S-FC302PN,5
LGBMotor2W2S-MoviFitFCPN-S12B,5
LGBSEW-MoviProPN,5
LGBMotorEPos-MoviProPN,5
LGBMotor1W1S-C,5
LGBMotor2W1S-C,5
LGBMotor2W2S-MDXPN-3PD-DFS22B,5
LGBMotor2W2S-MDXPN-6PD,5
LGBMotor1W2S-C,5
LGBSEW-MDXPN-Torque-3PD,5
LGBMotorTorque-MDXPN-3PD,5
FB AlarmHandling,4
LGBBeltControl,5
FB Control,4
LGBProdStartStop,5
LGBAndonHCall,5
LGBProdSpeed,5
LGBLineFeed,5
LGBBodyCounter,5
LGBHandHeldHBA,5
LGBFlowCodeShift,5
LGBKP400,5
LGBBodyStopper,5
LGBBodyPitch,5
LGBCalcInc,5
LGBHooter,5
LGBJoyStick,5
LGBBitShift,5
LGBInfeedOutfeed,5
LGBProcessLighting,5
LGBCrossConvStopHighSpeed,5
LGBCrossConvManFnc,5
Sub,5
LGBLineFeedSub,6
LGBBodyStopperSub,6
FC Function,4
Control,5
LGBHWPanelLedIndication,6
LGBModelCode_Type2,6
LGBDwordTo16Char,6
LGB10CharToDInt,6
Animation,5
LGBRollerIAnim,6
LGBMotorIAnim,6
LGBJoyStickIAnim,6
LGBLiftTableIAnim,6
LGBHoist5PosIAnim,6
LGBCrossConvIAnim,6
Config,5
Control,6
LGBLineFeed-Config,7
LGBProdStartStop-Config,7
LGBProdSpeed-Config,7
LGBHandHeldHBA-Config,7
LGBJoyStick-Config,7
LGBBitShift-Config,7
LGBProcessLighting-Config,7
MovUnit,6
LGBMovUnit2Pos2W2S-MoviFitFCPN-Config,7
LGBMovUnit4Pos-MoviProPN-Config,7
LGBMovUnit2Pos1W1S2Det-C-Config,7
LGBMovUnit2Pos2W1S2Det-C-Config,7
LGBMovUnit2Pos2W1S4Det-MoviFitFCPN-Config,7
LGBMovUnit2Pos2W1S4Det-C-Config,7
Transport,6
LGBRoller2W2S-MoviFitFCPN-Config,7
LGBRoller2W2S-MDXPN-6PD-DFS22B-Config,7
LGBLineConvBrake-MDXPN-DFS22B-Config,7
LGBChain2W1S-MoviFitFCPN-Config,7
LGBHoist2Pos2S-FC302PN-Config,7
LGBHoist2Pos2S-C-Config,7
LGBLiftTable2Pos1S3Det-MoviFitFCPN-Config,7
LGBRoller2W2S-MoviFitFCPN-S12B-Config,7
LGBLiftTable3Pos1S4Det-MoviFitFCPN-Config,7
LGBChain2W1S-C-Config,7
LGBExtCross2W2S-MoviFitFCPN-Config,7
LGBExtRol2W1S-C-Config,7
LGBExtRol2W2S-MoviFitFCPN-Config,7
LGBRoller1W1S-C-Config,7
LGBRoller2W1S-C-Config,7
LGBRoller2W2S-C-Config,7
LGBRoller2W2S-MDXPN-3PD-DFS22B-Config,7
LGBLineConv-MDXPN-Config,7
LGBRoller2W2S-MDXPN-3PD-Config,7
LGBRoller2W2S-MDXPN-6PD-Config,7
LGBLineConvBrake-MDXPN-Config,7
LGBLiftTable2Pos1S3Det-C-Config,7
LGBLiftTable3Pos1S4Det-C-Config,7
LGBRoller1W2S-C-Config,7
LGBLineConv-MDXPN-DFS22B-Config,7
LGBChain2W1S-FC302PN-Config,7
LGBExtRol1W1S-C-Config,7
LGBRollerMagCpl1W1S-C-Config,7
LGBLineConv-FC302PN-Config,7
LGBLiftTableEcc2Pos1S2Det-C-Config,7
LGBHoist5Pos-MoviProPN-Config,7
LGBShuttle5Pos2S-MoviFitFCPN-Config,7
LGBTurnTable2W2S-MoviFitFCPN-Config,7
LGBRollerMagCpl1W2S-C-Config,7
LGBRoller2W2S-FC302PN-Config,7
Tooling,6
LGBBuhlLock-Config,7
DataHandling,6
LGBShiftRegLine-Config,7
Data,5
LGBRdWrRecipe,6
LGBValveStatusSub,6
LGBValveStatus,6
LGBRdWrPipe,6
Function,5
LGBCalcRampMoviFit,6
LGBCalcRampMoviDrive,6
LGBCalcOvertimeMoviPro,6
LGBCalcOvertimeMoviFit,6
FB DataHandling,4
LGBShiftRegLine,5
LGBShiftRegConv,5
LGBRdWrData,5
LGBCheckPipes,5
LGBShiftRegConvTM,5
VIDS,5
LGBVIDSChangeVEMData,6
Sub,5
LGBShiftRegLineSub,6
FB Function,4
LGBHMIResetStartNoSafety,5
LGBHMILed,5
LGBStackLight,5
LGBProdInfo,5
LGBColourGroup,5
LGBDiagDet,5
LGBSoftDet,5
LGBPassage,5
LGBUps-PhoenixContact,5
FB MovUnit,4
LGBMovUnit2Pos2W2S-MoviFitFCPN,5
LGBMovUnit2Pos1W1S2Det-C,5
LGBMovUnit2Pos2W1S2Det-C,5
LGBMovUnit2Pos2W1S4Det-C,5
LGBMovUnit4Pos-MoviProPN,5
LGBMovUnit2Pos2W1S4Det-MoviFitFCPN,5
FB Safety,4
LGBGateLock-MGB-Maint,5
LGBLightCurtain,5
LGBDeathmansSwitch,5
LGBGateMaint,5
FB Tooling,4
LGBAlbanyRollerDoorIO,5
LGBBuhlLock,5
LGBSickDL100,5
LGBRollerDoorIO,5
FB Transport,4
LGBTrfIn,5
LGBTrfOut,5
LGBChainTrfIn,5
LGBRoller2W2S-MDXPN-6PD-DFS22B,5
LGBRoller2W2S-MoviFitFCPN,5
LGBChain2W1S-MoviFitFCPN,5
LGBChain2W1S-FC302PN,5
LGBHoist2Pos2S-FC302PN,5
LGBRoller2W2S-C,5
LGBHoist2Pos2S-C,5
LGBLiftTable2Pos1S3Det-MoviFitFCPN,5
LGBRoller2W2S-MoviFitFCPN-S12B,5
LGBLiftTable3Pos1S4Det-MoviFitFCPN,5
LGBChain2W1S-C,5
LGBExtCross2W2S-MoviFitFCPN,5
LGBExtRol2W1S-C,5
LGBExtRol2W2S-MoviFitFCPN,5
LGBRoller1W1S-C,5
LGBRoller2W1S-C,5
LGBRoller2W2S-MDXPN-3PD-DFS22B,5
LGBRoller2W2S-MDXPN-3PD,5
LGBLineConvBrake-MDXPN,5
LGBRoller2W2S-MDXPN-6PD,5
LGBLineConv-MDXPN,5
LGBRoller1W2S-C,5
LGBLiftTable2Pos1S3Det-C,5
LGBLiftTable3Pos1S4Det-C,5
LGBLineConv-MDXPN-DFS22B,5
LGBExtRol1W1S-C,5
LGBRollerMagCpl1W1S-C,5
LGBLineConv-FC302PN,5
LGBLiftTableEcc2Pos1S2Det-C,5
LGBHoist5Pos-MoviProPN,5
LGBShuttle5Pos2S-MoviFitFCPN,5
LGBTurnTable2W2S-MoviFitFCPN,5
LGBTrfOutRel,5
LGBRollerMagCpl1W2S-C,5
LGBRoller2W2S-FC302PN,5
LGBLineConvBrake-MDXPN-DFS22B,5
FB Supervision,4
LGBCRClockStartStop,5
LGBCRComm,5
_LocalLibVCG,2
PLC,3
FB DataHandling,4
LCycleMonitoring,5
VIDS,5
LVIDSMaster,6
LVIDSRFID,6
LVIDSTrack,6
LVIDSQualityRequest,6
LVIDSDeCouple,6
FB Function,4
LAndonReqVCG,5
FC Function,4
Config,5
Function,6
LAndonConfigVCG,7
FC DataHandling,5
LSubZoneStatus,6
209220ZS01,2
209220ZS01,3
209220ZS01AEAK,3
209220ZS01Passiv,3
209220ZS01PNIODiag,3
209220ZS01AS,3
209220ZS01Safety,3
209220ZM01,3
209220ZM01,4
209220ZMS011Modes,4
209220ZMS012Modes,4
209220ZMS013Modes,4
209220ZM01Config,4
209220ZM01DataHandling,4
209220ZM01Orders,4
209220ZM01Andon,4
Sequences,4
209220NCB01TagSequence,5
209220NCB02TagSequence,5
209220NCB01TagSeq,5
209220NCB02TagSeq,5
209210ZS01,2
209210ZS01,3
209210ZS01AEAK,3
209210ZS01Passiv,3
209210ZS01PNIODiag,3
209210ZS01Safety,3
209210ZS01AS,3
TEST_OPENESS,3
209210ZM01,3
209210ZM01,4
209210ZMS011Modes,4
209210ZMS012Modes,4
209210ZMS013Modes,4
209210ZM01Config,4
209210ZM01DataHandling,4
209210ZM01Andon,4
209210ZM01Orders,4
Sequences,4
209210NCB01TagSequence,5
209210NCB02TagSequence,5
209210NCB01TagSeq,5
209210NCB02TagSeq,5
209230ZS01,2
209230ZS01,3
209230ZS01AEAK,3
209230ZS01Passiv,3
209230ZS01PNIODiag,3
209230ZS01Safety,3
209230ZS01AS,3
209230ZM01,3
209230ZM01Modes,4
209230ZM01Config,4
209230ZM01DataHandling,4
209230ZM01,4
209230ZM01Orders,4
Sequences,4
209230NCB01TagSequence,5
209230NCB01TagSeq,5
PLC General,2
209000NCP01PNIODiagList,3
DiagPLCOverview,3
209000NCP01Passiv,3
209000NCP01PNIODiag,3
209000NCP01Safety,3
209000NCP01ComVD,3
209000NCP01Alarm,3
209000NCP01ComSafety,3
209000NCP01Config,3
PNComPLC308,3
209000NCP01AS,3
DPComPLC212,3
Cabinets,3
209000NCP01AK,4
209000NCP01AE,4
Enable Alarms,3
209000NCP01EnableAlarms,4
System blocks,2
Program resources,3
R_TRIG,4
Get_Name,4
DeviceStates,4
SERIALIZE,4
MOVE_BLK_VARIANT,4
GetSymbolPath,4
GET_IM_DATA,4
LED,4
RT_INFO,4
DESERIALIZE,4
F_TRIG,4
GetSymbolName,4
T_209210CS22M4SG10F-SG11F,4
T_209220CS22M4SG10F-SG11F,4
Diag_Alarm,4
G7_RT_Plus_1_V6,4
G7_RT_Plus_2_V6,4
G7_RT_Plus_SUB_1_V6,4
G7_RT_Plus_SUB_2_V6,4
G7_RT_Plus_3_V6,4
G7_RT_Plus_4_V6,4
G7_RT_Plus_5_V6,4
G7_RT_Plus_SUB_3_V6,4
G7_RT_Plus_6_V6,4
T_210AS20XS1,4
T_220AS20XS1,4
T_230AS10XS1,4
T_230CA21M4SG4,4
T_230CR22M1SG9,4
SCALE,4
CONT_S,4
CONT_C,4
UNSCALE,4
STEP 7 Safety,3
RTG1SysInfo,4
F_SystemInfo_DB,4
F_RCVDP,4
F_ACK_OP,4
F_TP,4
F_ACK_GL,4
F_SENDDP,4
F_RCVPN_PLC308,4
F_PassivationAckHMI,4
F_TimerResetPassivation,4
F_ResetPassivationFault,4
F_SENDPN_PLC308,4
F_ESTOP1,4
_F209000AK01F9SH1,4
_F209000AS01F9SH1,4
_F209000AS02F9SH1,4
_F209210AS10F9SH1,4
_F209210AS11F9SH1,4
_F209210AS20F9SH1,4
_F209210AS40F9SH1,4
_F209210AS41F9SH1,4
_F209210ASH01F9SH1,4
_F209210ASH01F9SH2,4
F_TON,4
_F209210ZS01SafetyTimer,4
_F209220AS10F9SH1,4
_F209220AS11F9SH1,4
_F209220AS20F9SH1,4
_F209220AS40F9SH1,4
_F209220ASH01F9SH1,4
_F209220ASH01F9SH2,4
_F209220ZS01SafetyTimer,4
_F209230AS10F9SH1,4
_F209230AS30F9SH1,4
_F209230ASH01F9SH1,4
_F209230ASD01F9SH1,4
_F209230ASD01F9SG1,4
_F209230ZS01F9SG1,4
_F209230ASH01F9SH2,4
_F209230ZS01SafetyTimer,4
_F209230ZS01F9SG1MaxBypassTimer,4
_F209000AK03M1-UE130_PSC-1Timer,4
_F209000AK03M4-UE131_PSC-1Timer,4
_F209000AK04M1-UE140_PSC-1Timer,4
_F209000AK04M4-UE141_PSC-1Timer,4
F_TOF,4
F_FDBACK,4
_F209000AK03F9QC1,4
_F209000AK03F9QC2,4
_F209000AK03F9QC5,4
_F209000AK03F9QC6,4
_F209000AK03F9QC3,4
_F209000AK03F9QC4,4
_F209000AK03M4-UE131_DO0Timer,4
_F209000AK04M4-UE141_DO0Timer,4
_F209000AK04F9QC1,4
_F209000AK04F9QC2,4
_F209000AK04F9QC3,4
_F209000AK04F9QC4,4
_F209000AK04F9QC5,4
_F209000AK04F9QC6,4
_F209F9K13FB,4
_F209000AK03M1-UE130_DO0Timer,4
_F209000AK03M1-UE133_DO0Timer,4
_F209000AK04M1-UE140_DO0Timer,4
_F209000AK04M1-UE143_DO0Timer,4
_F209210ASH01F9SH2Timer,4
_F209220ASH01F9SH2Timer,4
_F209000AK03M1-UE130_DO2,4
_F209000AK03M4-UE131_DO2,4
_F209000AK03M1-UE133_DO2,4
_F209000AK04M1-UE140_DO2,4
_F209000AK04M4-UE141_DO2,4
_F209000AK04M1-UE143_DO2,4
Compiler blocks,4
FC7003_C,5
FB7000_C,5
DB7002_C,5
FOB_GLOBAL_1,5
FOB_RTG_GCTX_DB,5
FB7000_C_GCTX_DB,5
FC7003_C_GCTX_DB,5
SPLIT_FOB_1_1,5
FGACK_OP,5
FGACK_GL,5
F_CTRL_D,5
F_CTRL_2,5
F_ET_LI,5
F_CTRL_RT,5
FB32772_IDB_C,5
FB32773_IDB_C,5
FB32775_IDB_C,5
FB32776_IDB_C,5
F_JL_CORR,5
FGACK_OP_GCTX_DB,5
FGACK_GL_GCTX_DB,5
F_PS_IN_1_0_0_0_0_0_0_1_0_1_1_21,5
F_PS_OUT_1_0_0_0_0_0_1_1_0_1_1_21,5
F_PSV2_13_RCV,5
F_PSV2_13_SEND,5
F_8BOOL_INPUT,5
F_8BOOL_OUTPUT,5
F_PS_INOUT_R_4_2_0_0_0_0_0_1_0_0_0_21,5
F_PS_INOUT_R_2_0_0_0_0_0_0_1_0_0_0_21,5
F_8BOOL_INPUT_NC,5
F_INT_INPUT_NC,5
F_PS_INOUT_S_4_2_0_0_0_0_1_1_0_0_0_21,5
SH_F15400_DFS22B(8Byte),5
F_8BOOL_OUTPUT_NC,5
F_INT_OUTPUT,5
SH_F15425_DFS22B(8Byte),5
SH_F15475_DFS22B(8Byte),5
F_PS_INOUT_S_2_0_0_0_0_0_1_1_0_0_0_21,5
SH_F15450_DFS21B(2Byte),5
SH_F15500_F-ModuleI/O(2Byte),5
SH_F16500_F-ModuleI/O(2Byte),5
SH_F17400_F-ModuleI/O(2Byte),5
SH_F17425_F-ModuleI/O(2Byte),5
SH_F17475_F-ModuleI/O(2Byte),5
FGTP,5
FGTP_GCTX_DB,5
FC7020_C_16,5
FC7020_C_17,5
FC7020_C_18,5
FC7020_C_19,5
FC7020_C_20,5
FC7020_C_21,5
FC7020_C_36,5
FC7020_C_37,5
FC7020_C_38,5
FC7020_C_16_GCTX_DB,5
FC7020_C_19_GCTX_DB,5
FC7020_C_37_GCTX_DB,5
FC7020_C_17_GCTX_DB,5
FC7020_C_20_GCTX_DB,5
FC7020_C_38_GCTX_DB,5
FC7020_C_18_GCTX_DB,5
FC7020_C_21_GCTX_DB,5
FC7020_C_36_GCTX_DB,5
SH_F17450_F-ModuleI/O(2Byte),5
SH_F16400_DFS22B(8Byte),5
SH_F16425_DFS22B(8Byte),5
SH_F16450_DFS21B(2Byte),5
SH_F16475_DFS22B(8Byte),5
F_CTRL_1,5
DB7000_C,5
DB7200_C,5
DB8_C,5
DB9_C,5
F_RCVDP_GCTX_DB,5
F_SENDDP_GCTX_DB,5
FGESTOP1,5
DB7203_C,5
DB7204_C,5
DB7205_C,5
DB7003_C,5
DB7206_C,5
DB7207_C,5
DB7208_C,5
DB7209_C,5
DB7210_C,5
DB7211_C,5
DB7010_C,5
FGESTOP1_GCTX_DB,5
SPLIT_FOB_1_2,5
FGTON,5
DB7212_C,5
DB7213_C,5
DB7214_C,5
DB7215_C,5
DB7216_C,5
DB7217_C,5
DB7218_C,5
DB7020_C,5
DB7225_C,5
DB7219_C,5
DB7220_C,5
DB7221_C,5
DB7222_C,5
DB7223_C,5
DB7224_C,5
DB7030_C,5
DB7031_C,5
DB7300_C,5
DB7011_C,5
DB7301_C,5
DB7021_C,5
DB7302_C,5
DB7303_C,5
FGTON_GCTX_DB,5
SPLIT_FOB_1_3,5
SPLIT_FOB_1_4,5
SPLIT_FOB_1_5,5
FGTOF,5
DB7304_1_C,5
DB7305_1_C,5
DB7307_1_C,5
DB7306_1_C,5
FGTOF_GCTX_DB,5
FGFDBACK,5
DB7308_C,5
DB7309_C,5
DB7400_C,5
DB7401_1_C,5
DB7404_C,5
DB7405_C,5
DB7402_1_C,5
DB7403_C,5
DB7012_C,5
DB7406_C,5
DB7407_C,5
DB7408_C,5
DB7409_C,5
DB7410_C,5
DB7411_C,5
DB7022_C,5
FGFDBACK_GCTX_DB,5
SH_F07150_PROFIsafe16BoolIOstandar,5
DB7032_C,5
DB7412_C,5
DB7308_1_C,5
DB7310_C,5
DB7313_C,5
DB7311_C,5
DB7314_C,5
DB7315_C,5
SPLIT_FOB_1_6,5
DB7413_C,5
DB7414_C,5
DB7415_C,5
DB7416_C,5
DB7417_C,5
DB7418_C,5
F-I/O data blocks,4
F05010_209000AK01-JX35_11,5
F05240_209000AK03-JX36_11,5
F05246_209000AK03-JX36_12,5
F05270_209000AK04-JX37_11,5
F05276_209000AK04-JX37_12,5
F05100_209000AS01-JX38_11,5
F05130_209000AS02-JX39_11,5
F05400_209210AS10-JX40_11,5
F05450_209210AX01-JX41_21,5
F06600_209230AS10-JX60_11,5
F06650_209230AX01-JX61_21,5
F15400_DFS22B(8Byte),5
F15425_DFS22B(8Byte),5
F15475_DFS22B(8Byte),5
F15450_DFS21B(2Byte),5
F15500_F-ModuleI/O(2Byte),5
F16500_F-ModuleI/O(2Byte),5
F17400_F-ModuleI/O(2Byte),5
F17425_F-ModuleI/O(2Byte),5
F17475_F-ModuleI/O(2Byte),5
F05500_209210AS11-JX42_11,5
F05550_209210AX02-JX43_21,5
F05600_209210AS20-JX48_11,5
F17450_F-ModuleI/O(2Byte),5
F06000_209220AS10-JX50_11,5
F06050_209220AX01-JX51_21,5
F06100_209220AS11-JX52_11,5
F06150_209220AX02-JX53_21,5
F06200_209220AS20-JX58_11,5
F16400_DFS22B(8Byte),5
F16425_DFS22B(8Byte),5
F16450_DFS21B(2Byte),5
F16475_DFS22B(8Byte),5
F07150_PROFIsafe16BoolIOstandar,5
F29000_211212AE1-JX200_21,5
F29012_211212AE1-JX200_31,5
F29006_211212AE1-JX200_22,5
F29018_211212AE1-JX200_32,5
F-communication DBs,4
